"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"resultId","Unique ID of the test.","number","2020-10-01","11"
"resultDate","Date and time of the test in Pacific time zone (GMT -8).","datetime","2020-10-01","19"
"clientIpAddress","Speedtest user's IP address. The last octet of the user's external IP address is masked for addresses that are not on your network. Full IP addresses are available for your customers. ","text","2020-10-01","15"
"clientIpv6Address","Speedtest user's IPV6 address. We mask IP addresses for end users privacy, but show enough to allow clients to see which provider is offering the user's internet service. Please note that this address may not be the connection that the Speedtest was taken over (unless there is no IPV4 address populated).","text","2020-10-01","45"
"os","Operating system of the device used during the test.","text","2020-10-01","255"
"supplementalData","The additional field that is included in theSDK so that the user can configure andcollect specific ID and other data to tie intotheir internal databases for customer caseand other purposes.If “NULL” then this field has not beenconfigured.The save status of the supplemental data isincluded in the result submission responselocation: save.supplemental_dataSAVE_SUCCESS: The supplemental datawas persisted successfully.NO_DATA_FOUND: The supplemental datafield was included but was empty or null.NOT_TYPE_STRING: The providedsupplemental data field was not a string.EXCEEDS_MAX_LENGTH: The providedsupplemental data field was more than theMaximum Allowed Length of characters.INVALID_JSON_SYNTAX: The providedsupplemental data field failed to be parsedby JSON.parse() in the JavaScript language.SAVE_INSERT_ERROR: The attempt towrite to the database failed.","text","2020-10-01","1000"
"clientCountry","The country where the device is located.","text","2020-10-01","255"
"clientRegionName","The region within a country where the test was conducted. How each country is divided into regions varies country to country, but this is typically the top level region as described in ISO-3166-2. If this field is labeled unknown and the field location type equals 2, we were unable to confidently assign a region to the record and the location is only accurate to the country level.","text","2020-10-01","255"
"clientCityName","The city where the test was conducted. If this field is labeled unknown and the location type field equals 2, we were unable to confidently assign a city to the record and is only accurate to the region level.","text","2020-10-01","255"
"clientLatitude","The latitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"clientLongitude","The longitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"serverName","Name of the server tested.","text","2020-10-01","255"
"serverCountry","Country where server tested is located.","text","2020-10-01","255"
"serverSponsor","Name of the server sponsor tested.","text","2020-10-01","255"
"serverLatitude","Latitude of server tested.","number","2020-10-01","10"
"serverLongitude","Longitude of server tested.","number","2020-10-01","10"
"ispName","ISP name associated with IP Address.","text","2020-10-01","255"
"ipsCommonName","Common (marketing) name of the ISP","text","2020-10-01","255"
"downloadKbps","The result of the download portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"uploadKbps","The result of the upload portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"latency","The result of the latency portion of the test, measured in milliseconds.","number","2020-10-01","6"
"jitter","The variance in latency over time which determines the stability of the internet connection.","number","2020-10-01","4"
"downloadServerCount","Number of servers utilized during the download portion of the test.","number","2020-10-01","2"
"packetLoss","The percentage of packets lost during the test.","number","2020-10-01","5"
"preConnectionType","A number representing the device's connection type as detected before the test begins. Please see the connection type table for an explanation of each type. Connection type as detected before the test starts: 0 = Unknown,1 = Cell, 2 = Wi-Fi, 3 = GPRS, 4 = EDGE, 5 = UMTS, 6 = CDMA, 7 = EVDO0, 8 = EVDOA, 9 = OnexRTT, 10 = HSDPA, 11 = HSPA, 12 = IDEN, 13 = EHRPD, 14 = EVDOB, 15 = LTE, 16 = HSUPA, 17 = HSPAP, 18 = GSM, 19 = TDSCDMA, 20 = IWLAN, 21 = LTE-CA, 22 = Ethernet, 23 = Bluetooth, 24 = NR","number","2020-10-01","4"
"postConnectionType","A number representing the device's connection type as detected at the end of the test. Please see the connection type table for an explanation of each type. Connection type as detected at the end of the test: 0 = Unknown,1 = Cell, 2 = Wi-Fi, 3 = GPRS, 4 = EDGE, 5 = UMTS, 6 = CDMA, 7 = EVDO0, 8 = EVDOA, 9 = OnexRTT, 10 = HSDPA, 11 = HSPA, 12 = IDEN, 13 = EHRPD, 14 = EVDOB, 15 = LTE, 16 = HSUPA, 17 = HSPAP, 18 = GSM, 19 = TDSCDMA, 20 = IWLAN, 21 = LTE-CA, 22 = Ethernet, 23 = Bluetooth, 24 = NR","number","2020-10-01","4"
"wifiApBssid","The media access control address (MAC) address of the wifi Chipset running on the wireless access point to which the device is connected.","text","2020-10-01","50"
"wifiMacManufacturer","The manufacturer name associated with the MAC address of the WiFi access point (AP) serving the device based on IEEE Registration Authority assignments. This may not point to the marketed manufacturer name of the AP and may be associated with the manufacturer of another component such as the AP's radio.","text","2020-10-01","255"
"wifiRssi","Wifi RSSI signal strength.","number","2020-10-01","11"
"wifiFrequency","The frequency the wifi router is connecting with when test is taken. This field is connected to wifi test results only.","number","2020-10-01","5"
"wifiIs5ghz","""TRUE"" if the frequency the wifi router is 5 Ghz when test is taken. This field is connected to wifi test results only.","text","2020-10-01","5"
"simCount","The number of SIMs registered to the device during the test.","number","2020-10-01","2"
"simMccMnc","The MCC and MNC associated with the SIM card used for the test.","number","2020-10-01","6"
"simOperatorName","The mobile operator name from the primary SIM card used for the test.","text","2020-10-01","255"
"simOoklaOperatorName","Mobile operator name for the primary SIM card as determined by Ookla based on our research on how the operator is marketed","text","2020-10-01","150"
"networkMccMnc","The MCC and MNC associated with the network used for the test","number","2020-10-01","6"
"networkOperatorName","The name of the network operator, as displayed by the device. This field is generally accurate, but is not reliable. Custom versions of Android, including carrier specific versions, may modify this string, and carriers have used different spellings and brandings on their network names. 2020-05-28: When Ookla can more accurately identify the active network operator via Android CellIdentity APIs, it will overwrite the network_operator_name based on Ookla-maintained MCCMNC-to-network relations.","text","2020-10-01","255"
"networkOoklaOperatorName","Mobile operator name as determined by Ookla based on our research on how the operator is marketed","number","2020-10-01","6"
"nrSsRsrp","Synchronization Signal Reference Signal Received Power (SS-RSRP) is defined as the linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215. ","number","2020-10-01","4"
"nrSsRsrq","Synchronization Signal Reference Signal Received Quality (SS-RSRQ) is defined as the ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215. ","number","2020-10-01","4"
"nrSsSinr","SS signal-to-noise and interference ratio (SS-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2020-10-01","4"
"nrCsiRsrp","CSI Reference Signal Received Power (CSI-RSRP), is defined as the linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215. Screen reader support enabled.","number","2020-10-01","6"
"nrCsiRsrq","CSI Reference Signal Received Quality (CSI-RSRQ) is defined as the ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.Screen reader support enabled.","number","2020-10-01","4"
"nrCsiSinr","CSI signal-to-noise and interference ratio (CSI-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215. Screen reader support enabled.","number","2020-10-01","4"
"nrArfcn","New Radio Absolute Radio Frequency Channel Number. Reference: 3GPP TS 38.101-1 section 5.4.2.1 NR-ARFCN and channel raster. Reference: 3GPP TS 38.101-2 section 5.4.2.1 NR-ARFCN and channel raster.","number","2020-10-01","7"
"nrNci","New Radio Cell Identity.","number","2020-10-01","11"
"nrPci","New Radio Physical Cell ID.","number","2020-10-01","4"
"nrTac","New Radio Tracking Area Code.","number","2020-10-01","5"
"nrState","New Radio state of the mobile data network. Returns one of the following: 1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","number","2020-10-01","1"
"isUsingCarrierAggregation","""True"" if carrier aggregation is in use.","text","2020-10-01","5"
"lteRsrp","Reference Signal Received Power.  LTE metric displaying the received power of the reference LTE signal, similar to the old school ""signal strength"".  Range: -40 to -140, where -140 is the worst and -44 is the highest the device will report","number","2020-10-01","4"
