"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"test_id","A unique ID for every speedtest performed based on the platform. ","number","2020-10-01","11"
"test_method","The communication protocol used by the test. Whenever possible, the test makes a direct TCP connection with the testing server, which allows for greater testing accuracy, especially at higher speeds. In instances where the device is unable to establish a TCP connection with the test server on the appropriate port, the test falls back to using basic HTTP file transfers to determine the device's bandwidth. 1 = HTTP, 2 = TCP, 5 = HTTP-IPV6, 6 = TCP-IPV6","number","2020-10-01","3"
"test_date","Date and time of the test in Pacific time zone (GMT -8).","datetime","2020-10-01","19"
"client_ip_address","This is the IP address from which the request to Ookla's reporting API was generated. Devices behind networks with carrier grade NAT may appear to share the same IP address.","text","2020-10-01","15"
"client_ipv6_address","Speedtest user's IPV6 address. We mask IP addresses for end users privacy, but show enough to allow clients to see which provider is offering the user's internet service. Please refer to ""test_method_a"" to see with IP address the test was taken over.","text","2020-10-01","64"
"download_kbps","The result of the download portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"upload_kbps","The result of the upload portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"latency","The result of the latency portion of the test, measured in milliseconds.","number","2020-10-01","6"
"jitter","The variance in latency over time which determines the stability of the internet connection.","number","2020-10-01","4"
"ploss_sent","The number of packages sent to host server from device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","number","2020-10-01","5"
"ploss_recv","The number of packages received by the host server from device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","number","2020-10-01","5"
"download_test_duration","The length, in milliseconds, of the speedtest based on adaptive testing, maximum test length being 15 seconds","number","2020-10-01","5"
"download_thread_count","The maximum number of download threads used during adaptive testing, maximum of 22 threads","number","2020-10-01","3"
"upload_threads_s","The number of threads used in the upload test.","number","2020-10-01","5"
"download_kb","The bytes used during a test for the download portion, in kilobytes","number","2020-10-01","8"
"upload_kb","The bytes used during a test for the upload portion, in kilobytes","number","2020-10-01","8"
"download_test_duration","The length, in milliseconds, of the speedtest based on adaptive testing, maximum test length being 15 seconds","number","2020-10-01","5"
"download_stop_reason","Indicates whether the speedtest was able to complete before the maximum test duration.  0 = Early stop did not occur. Full test duration or byte limit was hit1 = Early stop occurred","number","2020-10-01","1"
"server_name","The name of the server used for the test. This is typically the city where the server is located.","text","2020-10-01","255"
"server_country","The country where the server used for the test is located.","text","2020-10-01","255"
"server_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.","text","2020-10-01","2"
"server_latitude","The latitude of the server used for the test.","number","2020-10-01","10"
"server_longitude","The longitude of the server used for the test.","number","2020-10-01","10"
"server_sponsor_name","The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.","text","2020-10-01","255"
"server_selection","Whether the server used in the Speedtest was selected automatically or manually by the user  ""Auto"" indicates that the server was selected automatically ""User"" indicates that the server was selected manually by the user","text","2020-10-01","4"
"miles_between","Distance (in miles) between user at the start of the test and location of server.","number","2020-10-01","9"
