"Field Name","Definition","Data Type","Date Available","Max Field Size"
"ts_result","Date and time of the test in UTC.","datetime","2022-11-07","35"
"ts_result_received","Date and time that Ookla received the test result from the device.","datetime","2022-11-07","35"
"attr_location_timezone","Local timezone name derived from reverse geocoding (location).","text","2022-11-07","255"
"id_result","Unique ID of the test.","integer","2022-11-07","20"
"guid_result","A globally unique ID for every Speedtest performed. ","string","2022-11-07","32"
"id_device","Public-facing unique ID of the user/device.","integer","2022-11-07","32"
"attr_provider_name","ISP name associated with IP Address. In some cases, this may report a secondary name of an ISP, for example ABC Fiber.","text","2022-11-07","255"
"attr_provider_name_common","ISP common name associated with IP Address. This will be the name displayed in the Speedtest Intelligence portal.","text","2022-11-07","255"
"id_platform","Denotes the platform on which the test was taken: 1 = Android; 2 = iOS; 3 = Web; 4 = MacOS; 5 = Windows","integer","2022-11-07","1"
"id_connection_type","Connection type associated with the test. Most common responses will be 0, 2, and 22 (Android, MacOS, Windows) and 0, 2, and 13 (iOS). Android connection types: 0 = Unknown; 1 = Cell; 2 = Wifi; 3 = Gprs; 4 = Edge; 5 = Umts; 6 = Cdma; 7 = Evdo0; 8 = EvdoA; 9 = OnexRTT; 10 = Hsdpa; 11 = Hspa; 12 = Iden; 13 = Ehrpd; 14 = EvdoB; 15 = Lte; 16 = Hsupa; 17 = Hspap; 18 = Gsm; 19 = TdScdma; 20 = IWLan; 21 = LteCa; 22 = Ethernet; 23 = Bluetooth     iOS connection types: 0 = unknown; 1 = cell, 2 = wifi; 3 = GPRS; 4 = Edge; 5 = WCDMA; 6 = HSDPA; 7 = HSUPA; 8 = CDMA1x; 9 = CDMAEVDORev0; 10 = CDMAEVDORevB; 11 = eHRPD; 12 = LTE; 13 = Ethernet; 14 = Bluetooth; 15 = HRPD; 16 = CDMAEVDORevA; 17 = NRNSA; 18 = NRSA","integer","2022-11-07","4"
"attr_location_latitude","Latitude of client testing. If GPS isn't used, then this is determined by Maxmind's GeoIP.","number","2022-11-07","10"
"attr_location_longitude","Longitude of client testing. If GPS isn't used, then this is determined by Maxmind's GeoIP.","number","2022-11-07","10"
"attr_location_altitude","Altitude of the client testing (if available), in meters above the WGS 84 reference ellipsoid. If this location does not have an altitude, 0 is returned.","integer","2022-11-07","6"
"attr_location_accuracy_m","The accuracy of the location data collected from the device expressed in meters.","integer","2022-11-07","5"
"attr_location_age_ms","Indicates the time elapsed (in ms) from when the user's location information was collected and the test was taken.","integer","2022-11-07","11"
"id_location_type","The source of information determining location of test. 1 = GPS (direct lat/long), 2 = Maxmind (GeoIP)","integer","2022-11-07","1"
"attr_place_name","Unabbreviated location name; typically the city where the test is taken.","text","2022-11-07","100"
"attr_place_country","Country from where test is taken.","text","2022-11-07","255"
"attr_place_country_code","Country code of country where test is taken.","text","2022-11-07","2"
"attr_place_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2022-11-07","100"
"attr_place_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2022-11-07","100"
"attr_place_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","2022-11-07","100"
"attr_place_postal_code","Postal code for the test location. The postal code is the same as what is used to address mail within the country. Not all countries display this information.","text","2022-11-07","100"
"attr_browser_agent","User agent or web browser accessing Speedtest.net.","text","2022-11-07","255"
"attr_test_method","The communication protocol (TCP or HTTP) used by the test. Whenever possible, the test makes a direct TCP connection with the testing server, which allows for greater testing accuracy, especially at higher speeds. In instances where the device is unable to establish a TCP connection with the test server on the appropriate port, the test falls back to using basic HTTP file transfers to determine the device's bandwidth. For web tests, we provide more granularity and break out the method that was used for each part of the test. In those cases, we provide the method in this order: latency, download, upload. Values may be a combination of: HTTP, TCP, WS (websocket), or XHR","text","2022-11-07","4"
"attr_test_ip_version","Denotes if the test was conducted over IPv4 (4) or IPv6 (6). ","integer","2022-11-07","1"
"attr_result_test_source","The source of the Speedtest between ST4 (beta.speedtest.net in flash), ST4-JS (beta.speedtest.net in Javascript), or Chrome-Ext (test taken from the Chrome Extension). If the results says ""NULL"" or is blank, then the test was taken on ST3 (speedtest.net).","text","2022-11-07","45"
"id_connection_net_speed","User ISP/connection type (estimated). 0 = Unknown, 1 = Dialup, 2 = Cable/DSL, 3 = Corporate and 4 = Cellular, 5 = Satellite. Results with a net_speed_id of 4 are excluded from all Fixed aggregates except for ""Mobile Broadband"".","integer","2022-11-07","1"
"attr_network_ipv4_address","This is the IP address from which the request to Ookla's reporting API was generated. The last octet of the user's external IP address is masked for addresses that are not on your network. Full IP addresses for your network can be made available upon request and delivered in a separate supplemental dataset. Devices behind networks with carrier grade NAT may appear to share the same IP address.","text","2022-11-07","45"
"attr_network_ipv6_address","Speedtest user's IPV6 address. We mask IP addresses for end users privacy, but show enough to allow clients to see which provider is offering the user's internet service.  Please note that this address may not be the connection that the Speedtest was taken over (unless there is no IPV4 address populated).","text","2022-11-07","45"
"attr_network_asn","The Autonomous System Number (ASN) associated with the client's IP address.","integer","2022-11-07","10"
"attr_wifi_mac_manufacturer","The manufacturer name associated with the MAC address of the WiFi access point (AP) serving the device based on IEEE Registration Authority assignments. This may not point to the marketed manufacturer name of the AP and may be associated with the manufacturer of another component such as the AP's radio.","text","2022-11-07","255"
"attr_wifi_frequency_mhz","The frequency the WiFi router is connecting with when test is taken. ","integer","2022-11-07","5"
"attr_wifi_channel_width_mhz","The width of the Wifi channel (in MHz). ","integer","2022-11-07","3"
"is_wifi_5ghz","""TRUE"" if the frequency of the wifi router is 5 Ghz when the test is taken. This field is connected to wifi test results only.","boolean","2022-11-07","5"
"is_wifi_24ghz_band_supported","TRUE if the chipset supports 2.4GH frequency band.","boolean","2022-11-07","5"
"is_wifi_5ghz_supported","TRUE if the chipset supports 5 GHz band.","boolean","2022-11-07","5"
"is_wifi_6ghz_band_supported","TRUE if the chipset supports 6GHz frequency band.","boolean","2022-11-07","5"
"is_wifi_60ghz_band_supported","TRUE if the chipset supports the 60GHz frequency band.","boolean","2022-11-07","5"
"attr_wifi_base_station_id","The media access control address (MAC) address of the wifi chipset running on the wireless access point to which the device is connected.","string","2022-11-07","50"
"attr_wifi_rssi_dbm","Wifi RSSI signal strength.","integer","2022-11-07","11"
"attr_wifi_rx_link_speed_mbps","The current receive link speed in Mbps reported by Android.","integer","2022-11-07","11"
"attr_wifi_tx_link_speed_mbps","The current transmit link speed in Mbps reported by Android.","integer","2022-11-07","11"
"attr_wifi_max_supported_rx_link_speed_mbps","The maximum supported receive link speed in Mbps reported by Android.","integer","2022-11-07","11"
"attr_wifi_max_supported_tx_link_speed_mbps","The maximum supported transmit link speed in Mbps reported by Android.","integer","2022-11-07","11"
"attr_wifi_standard","The friendly name of the connection Wi-Fi standard value such as: unknown, legacy Wi-Fi 802.11a/b/g, Wi-Fi 802.11n, Wi-Fi 802.11ac, Wi-Fi 802.11ax, Wi-Fi 802.11ad","text","2022-11-07","25"
"id_wifi_standard","The connection Wi-Fi standard value:0 = unknown,1 = legacy; Wi-Fi 802.11a/b/g,4 = Wi-Fi 802.11n,5 = Wi-Fi 802.11ac,6 = Wi-Fi 802.11ax,7 = Wi-Fi 802.11ad","integer","2022-11-07","1"
"val_download_mbps","The result of the download portion of the test, measured in megabits per second.","integer","2022-11-07","11"
"val_upload_mbps","The result of the upload portion of the test, measured in megabits per second.","integer","2022-11-07","11"
"val_latency_min_ms","The minimum result of the latency portion of the test, measured in milliseconds.","integer","2022-11-07","6"
"val_latency_iqm_ms","The interquartile mean result of the latency portion of the test, measured in milliseconds.","number","2022-11-07","8"
"val_latency_max_ms","The maximum result of the latency portion of the test, measured in milliseconds.","number","2022-11-07","8"
"val_multiserver_latency_ms","The result of the multi-server latency, based on server selection, measured in milliseconds.","number","2022-11-07","8"
"val_download_latency_min_ms","The minimum download loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"val_download_latency_iqm_ms","The interquartile mean download loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"val_download_latency_max_ms","The maximum download loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"val_upload_latency_min_ms","The minimum upload loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"val_upload_latency_iqm_ms","The interquartile mean upload loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"val_upload_latency_max_ms","The maximum upload loaded latency result, measured in milliseconds.","number","2022-11-07","8"
"num_packet_loss_sent","The number of packages sent to host server from device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","integer","2022-11-07","8"
"num_packet_loss_received","The number of packages received from host server by device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","integer","2022-11-07","5"
"metric_packet_loss_percent","The percentage of packet loss measured.","number","2022-11-07","5"
"num_traceroute_hops","The number of hops taken on the traceroute from the client to server.","integer","2022-11-07","3"
"attr_traceroute0_ip_address","This is the IP address of the first hop of traceroute during a test.","string","2022-11-07","15"
"val_traceroute0_latency_ms","The time taken for the packet to be received after the first hop in the traceroute.","integer","2022-11-07","5"
"attr_traceroute1_ip_address","This is the IP address of the second hop of traceroute during a test.","string","2022-11-07","15"
"val_jitter_ms","The variance in latency over time which determines the stability of the internet connection.","number","2022-11-07","4"
"val_multiserver_jitter_ms","The result of the multi-server jitter, based on server selection, measured in milliseconds.","number","2022-11-07","6"
"attr_device_model","The model of the device used for testing.","text","2022-11-07","255"
"attr_device_manufacturer","The manufacturer of the device used for testing.","text","2022-11-07","255"
"attr_device_chipset","Ookla-maintained device chipset name.","text","2022-11-07","255"
"attr_device_chipset_manufacturer","Ookla-maintained device chipset manufacturer name.","text","2022-11-07","255"
"attr_device_radio","The version string for the radio firmware.","text","2022-11-07","255"
"attr_device_ram_mb","Maximum system memory in megabytes available to UE kernel.","integer","2022-11-07","19"
"attr_device_storage_mb","Maximum capacity in megabytes of UE file system, excluding any secondary storage such as SD cards.","integer","2022-11-07","19"
"attr_device_system_memory_mb","The random access memory (RAM) size in the system. Available for Windows only.","integer","2022-11-07","5"
"attr_device_processor_count","The count of cores (processors) present in the system. Available for Windows only.","number","2022-11-07","3"
"attr_device_processor_type","The type of processor present in the system. Available for Windows only.","text","2022-11-07","255"
"attr_device_processor_frequency","The frequency of the processor in the system (in MHz). Available for Windows only.","integer","2022-11-07","4"
"attr_app_version","User's Speedtest app version.","text","2022-11-07","11"
"attr_device_os_version","The version of the operating system being used by the device.","text","2022-11-07","20"
"attr_server_name","City where server tested is located.","text","2022-11-07","255"
"attr_server_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.","text","2022-11-07","2"
"attr_server_sponsor_name","The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.","text","2022-11-07","255"
"attr_server_latitude","Latitude of server tested.","number","2022-11-07","10"
"attr_server_longitude","Longitude of server tested.","number","2022-11-07","10"
"attr_server_distance_km","Distance (in kilometers) between user and location of server.","integer","2022-11-07","9"
"is_server_auto_selected","Whether the server used in the Speedtest was selected automatically or manually by the user. ""TRUE"" indicates that the server was selected automatically. ""FALSE"" indicates that the server was selected manually by the user. ","boolean","2022-11-07","5"
"is_server_on_network","TRUE if the test was taken on a server sponsored by the network operator.","boolean","2022-11-07","5"
"num_server_download","Number of Ookla servers used during the test.","integer","2022-11-07","1"
"is_network_vpn","TRUE if the device was connected to a VPN.","boolean","2022-11-07","5"
"is_portal_included","TRUE if the test is included in the Speedtest Intelligence portal. FALSE if the test has been excluded from the Speedtest Intelligence portal.","boolean","2022-11-07","5"
"attr_portal_categories","A comma-separated list of Speedtest Intelligence portal aggregates where the test is included. Example: All Fixed, All Wifi, Desktop","text","2022-11-07","100"
"attr_sim_operator_common_name","The Ookla-maintained common name of the SIM card provider. In the case of MVNOs, this will be the name of the carrier that owns the PLMN network.","text","2022-03-22","255"
"attr_sim_operator_name_raw","The raw name of the SIM card provider as reported by the device. This will sometimes show the name of the MVNO rather than the carrier that owns the PLMN network.","text","2022-03-22","255"
"attr_connection_type_string","The connection type in string format.","text","2022-03-22","50"
"attr_connection_link_speed","The WiFi or ethernet link speed when the test is taken.","number","2023-09-20","10"
"num_test_download_threads","The maximum number of download threads used during adaptive testing, Maximum of 64 threads","number","2023-09-20","3"
"num_test_upload_threads","The maximum number of upload threads used during adaptive testing.","number","2023-09-20","3"
"val_traceroute1_latency_ms","The time taken for the packet to be received after the second hop in the traceroute.","number","2023-06-30","5"
"attr_server_asn","The Autonomous System Number (ASN) associated with the primary server's IP.","text","2023-06-30","10"
"attr_place_locality_type","Type of locality where the test is taken. This is typically an incorporated city or town political entity.","text","2025-09-05","100"
"is_wifi_6ghz","""TRUE"" if the frequency of the wifi router is 6 Ghz when the test is taken. This field is connected to wifi test results only.","boolean","2025-09-05","5"
"attr_device_software_version","The device software version","number","2025-10-24","5"
"attr_signal_cell_type","The signal cell type.","number","2025-10-24","10"
"attr_traceroute0_ping_mtu","The traceroute 0 ping.","number","2025-10-24","10"
"attr_traceroute1_ping_mtu","The traceroute 1 ping.","number","2025-10-24","10"
"attr_network_operator_mcc","The mobile network code (MCC) associated with the connected cell site during the test.","number","2025-11-17","3"
"attr_network_operator_mnc","The mobile network code (MNC) associated with the connected cell site during the test.","number","2025-11-17","3"
"attr_sim_operator_mcc","The mobile country code (MCC) of the SIM card operator.","number","2025-11-17","3"
"attr_sim_operator_mnc","The mobile network code (MNC) of the SIM card operator.","number","2025-11-17","3"
"attr_device_manufacturer_raw","Android Device API returned manufacturer of the product/hardware.","text","2025-11-17","255"
