"Field Name","Definition","Data Type","Date Available","Max Field Size"
"guid_result","A globally unique ID for every speedtest performed based. ","string","2023-09-20","32"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS","integer","2023-09-20","1"
"attr_sim_operator_common_name","The Ookla-maintained common name of the SIM card provider. In the case of MVNOs, this will be the name of the carrier that owns the PLMN network.","text","2023-09-20","255"
"attr_sim_operator_name_raw","The raw name of the SIM card provider as reported by the device. This will sometimes show the name of the MVNO rather than the carrier that owns the PLMN network.","text","2023-09-20","255"
"val_signal_rsrp_dbm","Reference Signal Received Power LTE metric displaying the received power of the reference LTE signal, often referred to as ""signal strength"".  Range: [-40, -140], where -140 is poor and -44 is best","number","2023-09-20","4"
"val_signal_csi_rsrp_dbm","CSI Reference Signal Received Power (CSI-RSRP) The linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215. Range: [-40, -140], where -140 is poor and -44 is best","number","2023-09-20","6"
"val_signal_ss_rsrp_dbm","Synchronization Signal Reference Signal Received Power (SS-RSRP) The linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215. [-40, -140], where -140 is poor and -44 is best","number","2023-09-20","6"
"val_signal_rsrq_db","Reference Signal Received Quality The received quality of the LTE reference signal. Range: [-20, -3] where -20 is poor and -3 is best","number","2023-09-20","5"
"val_signal_csi_rsrq_db","CSI Reference Signal Received Quality (CSI-RSRQ) The ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215. Range: [-20, -3] where -20 is poor and -3 is best","number","2023-09-20","4"
"val_signal_ss_rsrq_db","Synchronization Signal Reference Signal Received Quality (SS-RSRQ) The ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215. Range: [-20, -3] where -20 is poor and -3 is best","number","2023-09-20","4"
"val_signal_rssnr_db","Reference Signal Signal-to-Noise Ratio Perhaps the most important KPI, but it's rarely properly reported in Android OS. It's the ratio between the noise and signal of the LTE data transmission. Range: [-30, +30], where -30 is poor and +30 is best","number","2023-09-20","3"
"val_signal_csi_snr_db","CSI signal-to-noise and interference ratio (CSI-SNR) The linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215. Range: [-30, +30], where -30 is poor and +30 is best","number","2023-09-20","4"
"val_signal_ss_snr_db","SS signal-to-noise and interference ratio (SS-SNR) The linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215. Range: [-30, +30], where -30 is poor and +30 is best","number","2023-09-20","4"
"id_cell_primary","The primary cell ID that the device is connected to during the test.","integer","2023-09-20","11"
"id_cell_nr","New Radio Cell Identity.","integer","2023-09-20","11"
"id_cell_start","The starting ID of either the GSM or CDMA ID. It is useful to compare this to cdma_cell_id or gsm_cell_id to determine if the cell id changed during testing.","integer","2023-09-20","11"
